source_name,url,data_type,coverage,access,refresh,records_scraped,tixr_relevance
Wikidata SPARQL Endpoint,https://query.wikidata.org/,"Structured venue data (name, country, type, capacity, coordinates, website, operator)","Global - 92,284 venues","Free, no auth",Community-updated continuously,55053,High - primary venue discovery with structured capacity data
OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,"Geo-tagged venue data (name, type, address, website, capacity, operator)",Global - 13 key cities scraped,"Free, no auth",Community-updated continuously,3471,High - granular city-level venue discovery with nightclub/theatre/stadium classification
Wikipedia Stadium Lists,https://en.wikipedia.org/wiki/List_of_stadiums_by_capacity,"Stadium/arena names, capacity, location, country",Global - 500+ major venues,Free,Community-edited,507,Medium - identifies major capacity venues for large-scale events
World Bank Open Data,https://data.worldbank.org/,"GDP per capita, internet users %, mobile subscriptions, tourism arrivals",20 target countries,Free API,Annually,76,High - market-level scoring for expansion prioritization
Ticketmaster Discovery API,https://developer.ticketmaster.com/products-and-docs/apis/discovery-api/v2/,"Venue name, address, capacity, geo, events, attractions","US, CA, UK, EU, AU, MX, NZ (20+ countries)",Free API key (5K calls/day),Real-time,0,Very High - structured venue+event data AND exclusivity signal (venues selling via TM = locked)
Songkick API,https://www.songkick.com/developer,"Concert data, venue ID, city, capacity, URI, upcoming events",Global - 6M+ concerts,Free API key,Near real-time,0,Very High - event cadence enrichment + venue capacity data
Bandsintown API,https://app.swaggerhub.com/apis/Bandsintown/PublicAPI/3.0.0,"Artist events, venue name/lat-long/city, lineup, ticket links",Global - 500K+ artists,API key (currently restricted),Real-time,0,High - artist touring data reveals active venues
Setlist.fm API,https://api.setlist.fm/rest/1.0,"Historical concert setlists, venue search, city/country data",Global,Free API key (non-commercial),Community-updated,0,High - historical event frequency signals for venue activity scoring
Google Places API (New),https://developers.google.com/maps/documentation/places/web-service/,"~200 place types incl. amphitheatre, concert_hall, stadium, arena, live_music_venue, night_club",Global,API key + billing,Real-time,0,Very High - most comprehensive venue type classification system
Eventbrite API,https://www.eventbriteapi.com/v3/,"Venue name, capacity, geo coords, events, age bracket",Global (180+ countries),OAuth token,Real-time,0,High - international event venue data with capacity
Skiddle API,https://www.skiddle.com/api/v1/,"UK events by geo/type (LIVE, FEST, CLUB, COMEDY, SPORT)",UK,Free API key,Real-time,0,High - UK's largest event platform; critical for UK market entry
Resident Advisor (RA.co),https://ra.co,"Electronic music venues/clubs, events, lineups, guest attendance",Global electronic music (30+ cities),GraphQL scraping,Daily,0,High - premium electronic music venue data for nightlife segment
Foursquare Places API v3,https://api.foursquare.com/v3/places/,"Global POI data, venue categories, ratings, check-in signals, popularity",Global from 100K+ sources,API key,Real-time,0,Medium - popularity/check-in signals for venue activity enrichment
Pollstar Data Cloud,https://pollstar.com/data,"Box office data (1999-present), 319K+ artists, 148K+ companies, venue contacts",Global,Subscription ($$$$),Weekly,0,Very High - gold standard for live entertainment industry data
PredictHQ Events API,https://www.predicthq.com/apis/event-api,"Event intelligence, predicted attendance, demand surge detection, ranking",Global (18+ event categories),Tiered pricing ($$$),Real-time,0,Very High - attendance prediction & demand intelligence for scoring model
JamBase Data,https://data.jambase.com,"Concert, festival, artist, ticketing, venue data; 25+ years",Global live music,Subscription ($$$),Daily,0,High - long historical baseline for event cadence analysis
UNWTO Tourism Statistics,https://www.unwto.org/tourism-statistics/key-tourism-statistics,"International arrivals, receipts, expenditure by country",196+ countries,Free (basic),Annually,0,Medium - tourism demand proxy for market sizing
IFPI Global Music Report,https://globalmusicreport.ifpi.org,"Recorded music revenue by country/region, streaming stats",58+ markets,Annual report,Annually,0,High - music market size by country for market-level scoring
World of Stadiums,https://worldofstadiums.com,"2,315 stadiums (10K+ capacity) with photos and data",Global,Free web database,Monthly,0,Medium - visual reference for major venue identification
