platform,parent_owner,tier,exclusivity_model,primary_markets,sports_partners,music_venues,key_leverage,how_to_detect,openness_to_tixr,data_source
Ticketmaster / Live Nation,Live Nation Entertainment,T1_Dominant,Full exclusive (venue OR promoter must use TM),"USA, UK, Ireland, Mexico, Canada, Australia, Germany (partial)","Arsenal, Tottenham, West Ham, Brentford, Crystal Palace, Everton, Wolves, Chelsea, Bolton, Wigan (EPL/EFL); West Ham (London Stadium); Premiership Rugby (5yr deal); Rugby World Cup 2027/2029; World Athletics 2025 Tokyo; Qatar Stars League (QSL); Olympiacos FC; Las Vegas Raiders (Allegiant Stadium); Inter Miami CF; MLS Official (29 clubs); Dallas Cowboys; Golden State Warriors","House of Blues chain, Fillmore venues, Palladium chains, 275+ owned/operated US venues","Promoter arm withholds tour routing from non-TM venues. DOJ consent decree (Mar 2026) caps new exclusives at 4 yrs, divests 13 amphitheater exclusives",Venue buy-ticket button goes to ticketmaster.com or am.ticketmaster.com subdomain,Very Low (locked). Post-DOJ settlement venues expiring are opportunity,"TicketNews[cite:288], TicketmasterSport[cite:305], TicketmasterSport[cite:314][cite:315]"
AXS (AEG Ticketing),Anschutz Entertainment Group (AEG),T1_Dominant,Exclusive via AEG venue ownership; voluntary exclusive deals elsewhere,"USA, UK, Germany, Sweden, Japan, Australia, New Zealand, Thailand",LA28 Olympics (w/ Eventim); B.League Japan; Swedish Elite Football; Venues New South Wales; BNP Paribas Open tennis; WM Phoenix Open golf; Coachella; Red Rocks; O2 Arena London; AO Arena Manchester; Uber Arena Berlin; Barclays Arena Hamburg; Accor Arena Paris; UOB Live Bangkok; Mercedes-Benz Arena Shanghai; IG Arena Nagoya,"The O2 London, OVO Wembley, Bataclan Paris, adidas Arena Paris, Dreamland Margate, BST Hyde Park, All Points East",AEG owns venues outright — switching requires AEG partnership termination. Expanding aggressively in Germany/SE Asia,Buy-ticket button goes to axs.com or axs.com/[eu/uk/etc] or venue-branded AXS white label,Very Low (AEG-owned). Non-AEG venues using AXS are weaker exclusives — opportunity exists,AEGEurope[cite:291][cite:250][cite:294]
CTS Eventim,Public (MDAX: EVD),T1_Dominant,Dominant in Germany/Europe via ticketing system + venue ownership + promoter arm,"Germany (dominant ~70%), Austria, Switzerland, Netherlands, Italy, Poland, Scandinavia, Brazil, Chile",EHF (European Handball) 2022–2028 all Euros; 100+ European football clubs (top leagues); handball/basketball/ice hockey European clubs; LA28 Olympics (co-provider with AXS),Hamburg Barclays Arena co-operator; Olympiahalle Munich; various DACH venues; acquired See Tickets (Jun 2024) adding 15 offices across Europe + US,Controls ticketing infrastructure in Germany — venues using EVENTIM system are sticky. See Tickets acquisition expanded UK/FR/NL/ES footprint,eventim.de or eventim.co.uk as buy link; local white-label eventim-branded URL,"Low in DACH core. Medium in newer markets (LATAM, Eastern Europe, SEA) where grip is weaker","Eventim[cite:301][cite:309], SportBusiness[cite:303][cite:312]"
SeatGeek,Private (NYC-based),T2_Challenger,Official partner (primary ticketing) for select teams; otherwise secondary marketplace,USA primary; UK growing (~50% EPL clubs); international expanding,"Dallas Cowboys; NFL official; ~50% EPL clubs (Liverpool FC, Watford, Leeds, Wolverhampton, Brentford — note: some overlap with TM); MLB official marketplace; Big 12 Conference (official); NASCAR; Florida Panthers (NHL); Cleveland Cavaliers (NBA); NY Broadway + London West End",Growing venue integrations via Paciolan (160 college athletics + 100+ pro venues + 75 arts),"Offered 'retaliation insurance' to win TM venues post-DOJ. API-first, developer-friendly. Less coercive than TM/AXS",seatgeek.com as buy link; team/venue portal with SeatGeek branding,"Medium — direct competitor in US, but less entrenched internationally. Some venue types (festivals, boutique) still open","Bloomberg[cite:245], SeatGeek[cite:295][cite:322]"
See Tickets,CTS Eventim (acquired Jun 2024),T2_Challenger,Non-exclusive in most cases; official partner agreements for key festivals/venues,"UK (primary), France, Netherlands, Belgium, Spain, Germany, USA (NY/LA/Nashville)",Professional Darts Corporation (PDC); Houses of Parliament events,Glastonbury Festival; Universal Music Group events; SJM Concerts; Tomorrowland; Rock in Rio Lisboa; Boardmasters; Alexandra Palace; Electric Ballroom; Leadmill Sheffield; Albert Hall Manchester; 50+ UK independent venues,Dominant in UK festival/grassroots market. Now folded into Eventim ecosystem — expanding synergies,seetickets.com buy link or seetickets.us (US); often used for independent UK venues,Medium-High — mid-tier venues using See Tickets are often less locked in than TM/AXS,"Wikipedia[cite:324], SeeTickets[cite:321]"
DICE,"Private (London-based, SoftBank-backed)",T2_Challenger,Exclusive partnerships with boutique/independent venues and electronic music scene,"UK, USA (NYC/LA), Germany, Italy, France, Spain, India (Mumbai/Bangalore)",Minimal — focused on music/nightlife. The Ave (announced Feb 2026 as official ticketing partner),Berghain Berlin; Fabric London; Motion Bristol; EartH London; Printworks London; Village Underground; 10K+ venues globally,Strong in electronic music / club scene. Anti-touting tech (tickets tied to fan identity) appeals to independent venues,dice.fm as primary buy link; venue uses DICE Fan ID system,"High for DICE-served venues — these are exactly Tixr's target (premium independent, non-corporate)",DICE[cite:304][cite:307][cite:313]
Eventbrite,Public (EB on NYSE),T2_Challenger,Non-exclusive self-serve; no venue lock-in,Global (180+ countries) — dominant in SME/independent event market,"Grassroots sports, community events, amateur leagues","Smaller independent venues, pop-ups, community venues globally",Very low — any venue can switch. Tixr's premium positioning is a direct upgrade for Eventbrite venues that outgrow the platform,eventbrite.com as buy link,"Very High — no exclusivity, natural upgrade path for venues that want Tixr's features",General knowledge
Viagogo / StubHub,Viagogo (private),T2_Secondary,Open distribution (no exclusives); signed 'open distribution' deals with 100+ venues/teams,Global secondary marketplace,"Manchester City, Sevilla, NY Yankees, Alpine F1, 100+ venues; MLB league deal (open distribution)","Hamilton Broadway, Book of Mormon (ATG Entertainment); 100+ venues",Shifting industry toward open distribution model — challenges Ticketmaster's exclusive primary monopoly,viagogo.com or stubhub.com as resale platform; 'also available on StubHub' language on venue site,N/A — secondary market; but open distribution trend it's driving creates Tixr entry points,SportsPro[cite:286]
Ticketmaster Sport (international arm),Live Nation Entertainment,T3_Regional,Exclusive international sports deals — separate from US consumer TM,"UK, Europe, Middle East (Qatar), Asia (Japan - via PIA partnership)",Qatar Stars League (all 12 clubs digital); Olympiacos FC Greece; Rugby World Cup 2027/2029; Women's Rugby World Cup 2025 England; Premiership Rugby (5yr); Bolton Wanderers; Wigan Athletic+Warriors; Crystal Palace; West Ham; ESSMA partnership; MLB London; Cape Town HSBC Rugby Sevens; Danish Cycling Federation,Large UK arenas not owned by AEG,International white-label deals — partners use TM's system under their own brand,White-label TM portal; or ticketmaster.[country].com,Low for existing TM Sport clients. Gulf/MENA region has weaker TM grip — opportunity,TicketmasterSport[cite:305]
Punto Ticket (Chile/LATAM),Independent (Chile-based),T3_Regional,Regional dominant in Chile; non-exclusive elsewhere in LATAM,"Chile (primary), Peru, Colombia, Bolivia",Chilean football clubs; Copa Chile events,Major Chilean venues and festivals,Local relationships in Chile; but no international backing. Tixr's premium tech would be superior,puntoticket.com as buy link,High — regional player without TM/AXS resources. Mid-tier LATAM venues could switch,AudienceRepublic[cite:327]
