venue,city,country,capacity,sport,ticketing_platform,exclusivity_strength,contract_status,source
Arsenal (Emirates Stadium),London,UK,60704,Football,Ticketmaster,Strong,Multi-year,TicketmasterSport[cite:314]
Tottenham Hotspur Stadium,London,UK,62850,Football,Ticketmaster,Strong,Multi-year,TicketmasterSport[cite:314]
Chelsea FC (Stamford Bridge),London,UK,40173,Football,Ticketmaster,Strong,Active (2025),business.ticketmaster.com[cite:315]
West Ham (London Stadium),London,UK,60000,Football,Ticketmaster,Strong,10+ year partnership,TicketmasterSport[cite:305]
Nottingham Forest (City Ground),Nottingham,UK,30445,Football,Ticketmaster,Strong,Active,TicketmasterSport[cite:314]
Crystal Palace (Selhurst Park),London,UK,25500,Football,Ticketmaster,Strong,Active (2023+),TicketmasterSport[cite:305]
Everton (Goodison Park/New Stadium),Liverpool,UK,52888,Football,Ticketmaster,Strong,Active (2023+),TicketmasterSport[cite:314]
Wolverhampton Wanderers (Molineux),Wolverhampton,UK,32050,Football,Ticketmaster,Strong,Active (2023+),TicketmasterSport[cite:314]
Brentford (Gtech Community Stadium),London,UK,17250,Football,Ticketmaster / SeatGeek,Split,Overlap reported,"TicketmasterSport[cite:314], SeatGeek[cite:295]"
Bolton Wanderers (Toughsheet Community Stadium),Bolton,UK,28723,Football,Ticketmaster,Strong,Extended (2024),TicketmasterSport[cite:305]
Wigan Athletic + Wigan Warriors (DW Stadium),Wigan,UK,25138,Football/Rugby League,Ticketmaster,Strong,Long-term (2024),TicketmasterSport[cite:305]
The O2 Arena,London,UK,20000,Multi,AXS,Strong (AEG-owned),Permanent (AEG-owned),AEGEurope[cite:250]
OVO Arena Wembley,London,UK,12500,Multi,AXS,Strong (AEG-operated),Permanent,AEGEurope[cite:291]
AO Arena Manchester,Manchester,UK,21000,Multi,AXS,Strong,Partnership (2024),AEGEurope[cite:250]
Utilita Arena Birmingham,Birmingham,UK,15800,Multi,AXS,Strong,ASM Global partnership,AEGEurope[cite:250]
Utilita Arena Newcastle,Newcastle,UK,11000,Multi,AXS,Medium,Active (2024),AEGEurope[cite:250]
First Direct Arena Leeds,Leeds,UK,13500,Multi,AXS,Medium,Active (2024),AEGEurope[cite:250]
P&J Live Aberdeen,Aberdeen,UK,16000,Multi,AXS,Medium,Active (2024),AEGEurope[cite:250]
Leeds United (Elland Road),Leeds,UK,37890,Football,SeatGeek,Strong (official primary),Active (2022+),SeatGeek[cite:322]
Watford FC (Vicarage Road),Watford,UK,22200,Football,SeatGeek,Strong (official primary),Active (2022+),SeatGeek[cite:322]
Liverpool FC (Anfield),Liverpool,UK,61000,Football,SeatGeek,Strong (official primary),Active,SeatGeek[cite:295]
Glastonbury Festival Site,Glastonbury,UK,210000,Festival,See Tickets,Strong (exclusive official),Long-term,SeeTickets[cite:324]
Alexandra Palace,London,UK,10400,Multi,See Tickets,Medium,Active,SeeTickets[cite:321]
Electric Ballroom,London,UK,1500,Music,See Tickets,Medium,Active,SeeTickets[cite:321]
Uber Arena,Berlin,Germany,17000,Multi (ice hockey+concerts),AXS (premium),Strong (AEG-owned),Active (Oct 2024),AEGEurope[cite:291]
Barclays Arena Hamburg,Hamburg,Germany,16000,Multi,AXS (premium),Strong (AEG-owned),Active (Oct 2024),AEGEurope[cite:291]
Accor Arena,Paris,France,20300,Multi,AXS (AEG),Strong (AEG-operated),Permanent (AEG-owned),AEGEurope[cite:291]
Bataclan,Paris,France,1500,Music,AXS (AEG),Strong (AEG-owned),Permanent,AEGEurope[cite:291]
Qatar Stars League Stadiums (all 12 clubs),Doha,Qatar,40000,Football,Ticketmaster Sport,Strong (league-level deal),Extended beyond 2025-26,TicketmasterSport[cite:305]
Olympiacos FC (Karaiskakis Stadium),Piraeus,Greece,33334,Football,Ticketmaster Sport,Strong,Renewed 3 years,TicketmasterSport[cite:305]
UOB Live Bangkok,Bangkok,Thailand,18000,Multi,AXS (AEG),Strong (AEG-owned),Permanent (AEG-owned),AEGEurope[cite:291]
Mercedes-Benz Arena Shanghai,Shanghai,China,18000,Multi,AXS (AEG),Strong (AEG-operated),Permanent,AEGEurope[cite:291]
IG Arena Nagoya,Nagoya,Japan,10000,Multi,AXS (AEG),Strong (AEG-operated),Permanent,AEGEurope[cite:291]
B.League (Japan Basketball) venues,Multiple,Japan,10000,Basketball,AXS,Strong (league deal),Active,AEGEurope[cite:291]
Venues New South Wales portfolio,Sydney,Australia,45000,Multi,AXS,Strong (state-level deal),Active,AEGEurope[cite:291]
MLS (all 29 clubs + LA28 Olympics),Multiple USA,USA,25000,Soccer,Ticketmaster,Strong (league-level deal),Multi-year (2023+),MLS[cite:317][cite:320]
Inter Miami CF (Miami Freedom Park),Miami,USA,25000,Soccer,Ticketmaster,Strong,Renewed (2025 for 2026 stadium),TicketmasterSport[cite:308]
Las Vegas Raiders (Allegiant Stadium),Las Vegas,USA,65000,NFL,Ticketmaster,Strong,Multi-year,TicketmasterSport[cite:305]
Dallas Cowboys (AT&T Stadium),Dallas,USA,80000,NFL,SeatGeek,Strong (official primary),Active,SeatGeek[cite:295]
Rugby World Cup 2027 (Australia venues),Multiple AU,Australia,60000,Rugby,Ticketmaster Sport,Strong (tournament-level),Active,TicketmasterSport[cite:305]
Premiership Rugby (all 13 clubs),Multiple UK,UK,25000,Rugby,Ticketmaster Sport,Strong (league-level 5yr),5-year deal,SportBusiness[cite:323]
Berghain,Berlin,Germany,1500,Electronic Music,DICE,Strong (exclusive),Active,DICE[cite:304]
The Ave,Unknown,USA,2000,Music,DICE,Strong (announced Feb 2026),Active (Feb 2026),DICE Instagram[cite:313]
Grassroots venues (global),Various,Global,500,Mixed,Eventbrite,None (open platform),No lock-in,Eventbrite general
Manchester City (Etihad Stadium),Manchester,UK,53400,Football,Open Distribution (Viagogo partner),None (open),Open distribution deal,SportsPro[cite:286]
New York Yankees (Yankee Stadium),New York,USA,47309,Baseball,Open Distribution (Viagogo partner),None (open),Open distribution deal,SportsPro[cite:286]
Sevilla FC,Seville,Spain,43883,Football,Open Distribution (Viagogo partner),None (open),Open distribution deal,SportsPro[cite:286]
