method,description,signals,scalability,accuracy,tixr_application,tools
Buy Button URL Check,"Visit the venue or team's official website, find the 'Buy Tickets' or 'Get Tickets' CTA, inspect the destination URL",ticketmaster.com → TM; axs.com → AXS; seatgeek.com → SG; eventim.de → Eventim; dice.fm → DICE; eventbrite.com → EB (no exclusivity),Medium — manual for individual venues; automatable with headless browser (Playwright) + URL regex,Very High (95%+),Primary exclusivity signal for Venue Win Probability (VWP) feature in prediction model,"Playwright, Puppeteer, requests + BeautifulSoup"
Ticketmaster Discovery API - Venue Lookup,"Search a venue by name/city using TM API. If venue exists with events, it's a TM client",Presence in TM API = TM exclusive or TM-affiliated. Absence = independent or competitor platform,High — 5K calls/day free. Can batch all venues in the Tixr venue database,"High (85%) — not all TM venues appear consistently, and some non-exclusive venues appear too",Cross-reference all Wikidata/OSM venues against TM API to flag TM-locked venues,Ticketmaster Discovery API v2 (free key)
Songkick Venue ID Cross-Reference,Search venue by name in Songkick. Check event listings for ticket links — Songkick shows which platform sells each event's tickets,Ticket link domain per event = ticketing platform. Multiple platforms across events = non-exclusive,Medium-High — Songkick API provides venue search,High for active concert venues (80%),Event cadence + platform diversity score — venues using multiple platforms = lower exclusivity lock,Songkick API
Google Search Operator - site:ticketmaster.com venue,Use Google search operators to find if a venue's events appear on a specific ticketing platform,site:ticketmaster.com 'Uber Arena Berlin' → events found = TM affiliated,Low — rate limited by Google. Useful for spot-checking,Medium (70%) — some venues appear on TM resale without being primary TM clients,Manual spot-check for high-priority venues,"Google Search, SerpAPI"
Wikidata P137 (Operator) + P4290 (Ticketing System),Wikidata has P137 (operator/owner) and P4290 (ticketing system) properties for some venues,P137 = AEG → AXS lock; P137 = Live Nation → TM lock; P4290 directly states ticketing system,High — batch SPARQL query across all venues,Medium (60%) — not all venues have P4290 populated in Wikidata,Enrichment layer for Wikidata venue records already scraped,Wikidata SPARQL (query.wikidata.org)
Press Release / News Monitoring,"Monitor Google News, SportBusiness, Billboard, Pollstar for [venue] + [ticketing platform] + [partnership]",'[Venue] selects [Platform] as Official Ticketing Partner' = exclusive deal with contract start date,Medium — automatable with RSS + keyword alerts,Very High (95%) when source is official PR,Identify deals expiring (contracts typically 3-5 years). DOJ now caps TM at 4 years — use announcement date + 4yr to flag expiry window,"Google News RSS, NewsAPI, Perplexity alerts"
AXS Venue List (axs.com/venues),AXS publicly lists their venue/team partners at axs.com/venues — scrapeable,Venue in AXS list = AXS exclusive or strong AXS partner,"High — single page scrape, update quarterly",High (90%),Direct exclusivity flag for AXS venues; cross-reference against opportunity markets,requests + BeautifulSoup scraper
SeatGeek Venue Sitemap,SeatGeek publicly exposes venue sitemap at seatgeek.com/sitemap/venues,Venue in SeatGeek sitemap = SeatGeek client (primary or secondary). Cross with team official site to confirm if primary,High — full list already scraped,Medium (65%) — SeatGeek lists secondary market venues too,"Build SeatGeek venue list, cross-ref with TM/AXS — venues NOT on any major platform = open opportunity",requests + HTML parser (already in SeatGeek sitemap[cite:292])
DICE Venue Directory,"DICE exposes its venue list at dice.fm/venues — city-filtered, scrapeable",Venue on DICE = DICE partner (often exclusive for electronic music/club venues). These are prime Tixr adjacency targets,High — paginated venue directory,High (85%) for DICE-exclusive venues,Identify DICE-locked venues (club/boutique) in EMEA/SEA as near-term Tixr competition or acquisition intelligence,requests + JSON parse (DICE API/GraphQL)
Open Distribution Signal (Viagogo/StubHub),"If a venue/team appears in Viagogo's open distribution partner list, they have NO exclusive primary ticketing deal",Viagogo partnership = open distribution = no exclusivity = Tixr can compete on equal footing,Medium — Viagogo blog/press releases list partners,High (90%) — open distribution is a binary status,Highest-priority outreach targets: venues with open distribution but no premium ticketing experience,Press release monitoring + Viagogo partner blog[cite:286]
